date,accx,accy,accz
12/9/2020 1:20:15.951000000 PM,0.068604,0.011963,1.002197
12/9/2020 1:20:15.962000000 PM,0.068848,0.009766,1.003174
12/9/2020 1:20:15.972000000 PM,0.06958,0.008057,1.006592
12/9/2020 1:20:15.983000000 PM,0.070557,0.013916,1.001953
12/9/2020 1:20:15.994000000 PM,0.070557,0.00708,1.000488
12/9/2020 1:20:16.008000000 PM,0.073486,0.009277,1.002686
12/9/2020 1:20:16.019000000 PM,0.06958,0.013672,0.99585
12/9/2020 1:20:16.025000000 PM,0.071289,0.011963,1.00708
12/9/2020 1:20:16.034000000 PM,0.072021,0.013184,1.002197
12/9/2020 1:20:16.044000000 PM,0.06958,0.010254,0.998047
12/9/2020 1:20:16.056000000 PM,0.067871,0.012207,1.00708
12/9/2020 1:20:16.068000000 PM,0.068115,0.011475,0.99707
12/9/2020 1:20:16.095000000 PM,0.068359,0.011963,1.004639
12/9/2020 1:20:16.102000000 PM,0.073242,0.01001,0.99707
12/9/2020 1:20:16.113000000 PM,0.069824,0.01123,0.998535
12/9/2020 1:20:16.123000000 PM,0.067139,0.009277,1.003418
12/9/2020 1:20:16.132000000 PM,0.069336,0.010498,0.998535
12/9/2020 1:20:16.148000000 PM,0.071289,0.010986,1.005127
12/9/2020 1:20:16.156000000 PM,0.06958,0.01123,1.006592
12/9/2020 1:20:16.166000000 PM,0.070801,0.005859,0.996826
12/9/2020 1:20:16.175000000 PM,0.071777,0.011475,1.008301
12/9/2020 1:20:16.190000000 PM,0.071289,0.008057,1.007324
12/9/2020 1:20:16.198000000 PM,0.06665,0.013672,1.001709
12/9/2020 1:20:16.209000000 PM,0.068359,0.009277,0.998779
12/9/2020 1:20:16.219000000 PM,0.070312,0.011475,1.001465
12/9/2020 1:20:16.231000000 PM,0.070068,0.010498,1.000488
12/9/2020 1:20:16.243000000 PM,0.074463,0.011963,1.003174
12/9/2020 1:20:16.259000000 PM,0.071533,0.012939,1.005127
12/9/2020 1:20:16.267000000 PM,0.07251,0.009766,1.003174
12/9/2020 1:20:16.277000000 PM,0.071045,0.009277,0.999756
12/9/2020 1:20:16.289000000 PM,0.069336,0.011475,1
12/9/2020 1:20:16.296000000 PM,0.065674,0.008545,0.993652
12/9/2020 1:20:16.317000000 PM,0.067383,0.010986,0.994629
12/9/2020 1:20:16.325000000 PM,0.070557,0.006836,1.00293
12/9/2020 1:20:16.335000000 PM,0.070557,0.008057,1.00708
12/9/2020 1:20:16.345000000 PM,0.067871,0.01001,1.001465
12/9/2020 1:20:16.355000000 PM,0.071289,0.014893,1.003418
12/9/2020 1:20:16.366000000 PM,0.069824,0.012451,1.005371
12/9/2020 1:20:16.375000000 PM,0.073242,0.012451,0.996338
12/9/2020 1:20:16.386000000 PM,0.070557,0.01001,0.999268
12/9/2020 1:20:16.395000000 PM,0.070801,0.009521,1.005371
12/9/2020 1:20:16.408000000 PM,0.073242,0.013184,1.00293
12/9/2020 1:20:16.418000000 PM,0.073975,0.013672,1.006348
12/9/2020 1:20:16.427000000 PM,0.070312,0.009277,1.006592
12/9/2020 1:20:16.437000000 PM,0.06665,0.010742,1.000977
12/9/2020 1:20:16.444000000 PM,0.068115,0.010254,1.003174
12/9/2020 1:20:16.465000000 PM,0.072021,0.012207,1.001709
12/9/2020 1:20:16.473000000 PM,0.072754,0.008545,1.005127
12/9/2020 1:20:16.483000000 PM,0.067139,0.010254,1.002197
12/9/2020 1:20:16.494000000 PM,0.075195,0.006592,1.002686
12/9/2020 1:20:16.507000000 PM,0.070312,0.010742,0.996582
12/9/2020 1:20:16.519000000 PM,0.069092,0.00708,1
12/9/2020 1:20:16.529000000 PM,0.071045,0.007812,1.005127
12/9/2020 1:20:16.538000000 PM,0.070312,0.010498,0.998779
12/9/2020 1:20:16.554000000 PM,0.071777,0.015381,1.000244
12/9/2020 1:20:16.562000000 PM,0.06958,0.014648,1.003174
12/9/2020 1:20:16.572000000 PM,0.067627,0.009766,1.002686
12/9/2020 1:20:16.582000000 PM,0.068848,0.011963,1
12/9/2020 1:20:16.592000000 PM,0.068604,0.010986,1.00293
12/9/2020 1:20:16.602000000 PM,0.072754,0.007812,1.005371
12/9/2020 1:20:16.609000000 PM,0.07251,0.010498,1.002441
12/9/2020 1:20:16.615000000 PM,0.070068,0.010498,1.001221
12/9/2020 1:20:16.633000000 PM,0.071289,0.009521,1.000732
12/9/2020 1:20:16.640000000 PM,0.06958,0.011719,1.00708
12/9/2020 1:20:16.660000000 PM,0.067383,0.013672,1.001221
12/9/2020 1:20:16.668000000 PM,0.067627,0.008057,0.999512
12/9/2020 1:20:16.679000000 PM,0.068604,0.01123,0.999023
12/9/2020 1:20:16.691000000 PM,0.073486,0.012939,0.999023
12/9/2020 1:20:16.701000000 PM,0.070557,0.009766,1.004883
12/9/2020 1:20:16.709000000 PM,0.072266,0.010254,1.004883
12/9/2020 1:20:16.728000000 PM,0.068359,0.010254,1.009033
12/9/2020 1:20:16.736000000 PM,0.071533,0.013428,1.001465
12/9/2020 1:20:16.746000000 PM,0.068359,0.012207,1.00415
12/9/2020 1:20:16.756000000 PM,0.06958,0.009766,1.005371
12/9/2020 1:20:16.765000000 PM,0.068115,0.008301,0.999512
